contract,label,sector,method,method_name,direction,n_signals,win_rate,avg_return,avg_loss,avg_weeks,reward_risk,horizon
cad,Canadian Dollar,Currencies,A,Current,long,41,0.5853658536585366,0.005829776340137228,-0.017988095267036878,,,3m
cad,Canadian Dollar,Currencies,A,Current,short,29,0.4827586206896552,-0.0011150303973316365,-0.022132219161679054,,,3m
cad,Canadian Dollar,Currencies,B,Hybrid,long,28,0.75,0.009377928938974723,-0.0355369588343915,17.163265306122447,0.6851897009599697,
cad,Canadian Dollar,Currencies,B,Hybrid,short,17,0.8823529411764706,0.020785508327417643,-0.015824063345349137,14.07563025210084,1.6220097196461842,
cad,Canadian Dollar,Currencies,C,Shapiro,long,13,0.7692307692307693,0.01456061488956219,-0.012704275611159313,14.593406593406595,1.789955030557112,
cad,Canadian Dollar,Currencies,C,Shapiro,short,8,0.875,0.027767855411036796,-0.0016576089609683375,17.32142857142857,19.287717387693824,
jpy,Japanese Yen,Currencies,A,Current,long,49,0.5102040816326531,-0.00030422164075308685,-0.03698821405598497,,,3m
jpy,Japanese Yen,Currencies,A,Current,short,50,0.54,-0.00203824422022699,-0.037184251699531407,,,3m
jpy,Japanese Yen,Currencies,B,Hybrid,long,19,0.47368421052631576,-0.0223540723979913,-0.07071248605589667,16.872180451127814,0.4437334915394071,
jpy,Japanese Yen,Currencies,B,Hybrid,short,25,0.56,0.0008049875848097488,-0.03234967667061273,18.17142857142857,0.8301499023250462,
jpy,Japanese Yen,Currencies,C,Shapiro,long,7,0.42857142857142855,-0.034914457678759225,-0.10018910660687436,20.979591836734695,0.5202003423708699,
jpy,Japanese Yen,Currencies,C,Shapiro,short,17,0.5882352941176471,0.009245699409723333,-0.023120785756577073,18.159663865546218,1.3798077349970046,
eur,Euro FX,Currencies,A,Current,long,38,0.42105263157894735,-0.01600359275746404,-0.049726596739484735,,,3m
eur,Euro FX,Currencies,A,Current,short,34,0.38235294117647056,-0.004581177608105874,-0.022045673671879113,,,3m
eur,Euro FX,Currencies,B,Hybrid,long,29,0.3103448275862069,-0.03992586134549624,-0.0751038241383688,26.433497536945808,0.509260210703331,
eur,Euro FX,Currencies,B,Hybrid,short,16,0.75,0.019379587396797425,-0.008397077396767982,24.25,3.4105289624151993,
eur,Euro FX,Currencies,C,Shapiro,long,15,0.26666666666666666,-0.04540642755146702,-0.07013479979764435,25.066666666666663,0.32218807483185596,
eur,Euro FX,Currencies,C,Shapiro,short,8,0.625,0.01658639908104921,-0.007964677859694014,30.875,3.93199144989629,
chf,Swiss Franc,Currencies,A,Current,long,40,0.75,0.02008855739769702,-0.024341223530595913,,,3m
